anonymous_user_id,group_code,session_id,event_type,task_id,word_count,char_count,hour_of_day,day_of_week,timestamp,survey_completed_at
e7f6c011776e8db7,MC_001,sess-1772173661172-vgkxl3ot8,final_stage_reached,,,,6,Friday,2026-02-27T06:28:14.442267+00:00,2026-02-27T06:28:21.042263+00:00
e7f6c011776e8db7,MC_001,sess-1772173661172-vgkxl3ot8,survey_completed,,,,6,Friday,2026-02-27T06:28:21.053977+00:00,2026-02-27T06:28:21.042263+00:00
e7f6c011776e8db7,MC_001,unknown,experiment_completed,,,,6,Friday,2026-02-27T06:28:26.114268+00:00,
e7f6c011776e8db7,MC_001,unknown,experiment_completed,,,,6,Friday,2026-02-27T06:28:26.120849+00:00,
7902699be42c8a8e,MC_001,sess-1772137624577-ca5ve8fl0,stage_completed,30,,,21,Thursday,2026-02-26T21:39:20.649815+00:00,2026-02-26T21:39:40.362546+00:00
7902699be42c8a8e,MC_001,sess-1772137624577-ca5ve8fl0,stage_completed,31,,,21,Thursday,2026-02-26T21:39:21.813703+00:00,2026-02-26T21:39:40.362546+00:00
7902699be42c8a8e,MC_001,sess-1772137624577-ca5ve8fl0,stage_completed,32,,,21,Thursday,2026-02-26T21:39:22.937299+00:00,2026-02-26T21:39:40.362546+00:00
7902699be42c8a8e,MC_001,sess-1772137624577-ca5ve8fl0,stage_completed,33,,,21,Thursday,2026-02-26T21:39:24.233560+00:00,2026-02-26T21:39:40.362546+00:00
7902699be42c8a8e,MC_001,sess-1772137624577-ca5ve8fl0,stage_completed,34,,,21,Thursday,2026-02-26T21:39:26.985812+00:00,2026-02-26T21:39:40.362546+00:00
7902699be42c8a8e,MC_001,sess-1772137624577-ca5ve8fl0,final_stage_reached,,,,21,Thursday,2026-02-26T21:39:27.000818+00:00,2026-02-26T21:39:40.362546+00:00
7902699be42c8a8e,MC_001,sess-1772137624577-ca5ve8fl0,survey_completed,,,,21,Thursday,2026-02-26T21:39:40.377745+00:00,2026-02-26T21:39:40.362546+00:00
7902699be42c8a8e,MC_001,unknown,experiment_completed,,,,21,Thursday,2026-02-26T21:39:45.463250+00:00,
7902699be42c8a8e,MC_001,unknown,experiment_completed,,,,21,Thursday,2026-02-26T21:39:45.464284+00:00,
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,stage_completed,35,,,6,Friday,2026-02-27T06:55:42.011955+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,stage_completed,36,,,6,Friday,2026-02-27T06:55:42.832004+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,stage_completed,37,,,6,Friday,2026-02-27T06:55:43.499345+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,stage_completed,38,,,6,Friday,2026-02-27T06:55:44.208403+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,stage_completed,39,,,6,Friday,2026-02-27T06:55:45.411634+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,final_stage_reached,,,,6,Friday,2026-02-27T06:55:45.419726+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,survey_completed,,,,6,Friday,2026-02-27T06:56:02.552587+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,sess-1772174887544-5tw956woc,survey_completed,,,,7,Friday,2026-02-27T07:06:55.352403+00:00,2026-02-27T06:56:02.542967+00:00
2c624232cdd22177,MC_001,unknown,experiment_completed,,,,7,Friday,2026-02-27T07:07:00.397836+00:00,
2c624232cdd22177,MC_001,unknown,experiment_completed,,,,7,Friday,2026-02-27T07:07:00.400866+00:00,
19581e27de7ced00,MC_001,sess-1772176346117-2hb6uud6i,stage_completed,40,,,7,Friday,2026-02-27T07:12:44.488936+00:00,2026-02-27T07:13:04.822132+00:00
19581e27de7ced00,MC_001,sess-1772176346117-2hb6uud6i,stage_completed,41,,,7,Friday,2026-02-27T07:12:45.655624+00:00,2026-02-27T07:13:04.822132+00:00
19581e27de7ced00,MC_001,sess-1772176346117-2hb6uud6i,stage_completed,42,,,7,Friday,2026-02-27T07:12:46.739979+00:00,2026-02-27T07:13:04.822132+00:00
19581e27de7ced00,MC_001,sess-1772176346117-2hb6uud6i,stage_completed,43,,,7,Friday,2026-02-27T07:12:47.797486+00:00,2026-02-27T07:13:04.822132+00:00
19581e27de7ced00,MC_001,sess-1772176346117-2hb6uud6i,stage_completed,44,,,7,Friday,2026-02-27T07:12:49.172029+00:00,2026-02-27T07:13:04.822132+00:00
19581e27de7ced00,MC_001,sess-1772176346117-2hb6uud6i,final_stage_reached,,,,7,Friday,2026-02-27T07:12:49.190928+00:00,2026-02-27T07:13:04.822132+00:00
19581e27de7ced00,MC_001,sess-1772176346117-2hb6uud6i,survey_completed,,,,7,Friday,2026-02-27T07:13:04.831241+00:00,2026-02-27T07:13:04.822132+00:00
19581e27de7ced00,MC_001,unknown,experiment_completed,,,,7,Friday,2026-02-27T07:13:09.928415+00:00,
4a44dc15364204a8,MC_001,sess-1772188086847-8k46z6nc0,stage_completed,45,,,10,Friday,2026-02-27T10:30:13.192747+00:00,
4a44dc15364204a8,MC_001,sess-1772188086847-8k46z6nc0,stage_completed,46,,,10,Friday,2026-02-27T10:42:59.768610+00:00,
4a44dc15364204a8,MC_001,sess-1772189051343-eszdr65zf,stage_completed,47,,,10,Friday,2026-02-27T10:54:03.821302+00:00,
4a44dc15364204a8,MC_001,sess-1772189051343-eszdr65zf,stage_completed,48,,,10,Friday,2026-02-27T10:54:04.741605+00:00,
